ID|date_updated|source|ID_source|date_updated_source|name_primary_en|name_secondary_en|categories_en|weight_package_g|weight_serving_g|energy_kJ_per_100g|energy_kcal_per_100g|fats_total_g_per_100g|fats_saturated_g_per_100g|fats_monounsaturated_g_per_100g|fats_polyunsaturated_g_per_100g|fats_trans_g_per_100g|fats_omega6_linoleic_g_per_100g|fats_omega3_alphalinolenic_g_per_100g|fats_omega3_icosapentaenoic_g_per_100g|fats_omega3_docosahexaenoic_g_per_100g|fats_cholesterol_g_per_100g|carbohydrates_available_g_per_100g|carbohydrates_sugars_g_per_100g|carbohydrates_starch_g_per_100g|carbohydrates_dietary_fibres_g_per_100g|proteins_total_g_per_100g|salt_sodium_chloride_total_g_per_100g|alcohol_g_per_100g|water_g_per_100g|vitaminA_RE_total_g_per_100g|vitaminA_RE_REA_g_per_100g|vitaminA_RE_retinol_pure_g_per_100g|vitaminA_RE_betacarotene_activity_g_per_100g|vitaminA_RE_betacarotene_pure_g_per_100g|vitaminB1_thiamine_g_per_100g|vitaminB2_riboflavin_g_per_100g|vitaminB6_pyridoxine_g_per_100g|vitaminB12_cobalamine_g_per_100g|vitaminB3_niacin_g_per_100g|vitaminB9_folate_g_per_100g|vitaminB5_panthothenic_g_per_100g|vitaminC_ascorbic_g_per_100g|vitaminD_calciferol_g_per_100g|vitaminE_alphatocopherol_g_per_100g|mineralK_potassium_g_per_100g|mineralNa_sodium_g_per_100g|mineralCl_chloride_g_per_100g|mineralCa_calcium_g_per_100g|mineralMg_magnesium_g_per_100g|mineralP_phosphorus_g_per_100g|mineralFe_iron_g_per_100g|mineralI_iodide_g_per_100g|mineralZn_zinc_g_per_100g|mineralSe_selenium_g_per_100g|name_primary_uk|name_secondary_uk|categories_uk|name_primary_de|name_secondary_de|categories_de|name_primary_fr|name_secondary_fr|categories_fr|name_primary_it|name_secondary_it|categories_it
generic_SwissFoodDB_product_1|2025-10-04|https://naehrwertdaten.ch/en/downloads/|1|2025-07-01|Veal, breast, raw|(null)|Meat and offal/Veal|(null)|(null)|848|204|14.5|6.2|6.8|1.1|(null)|0.54|0.11|0.021|0.004|0.073|0|0|(null)|0|18.3|0.2|0|63.9|0.000006|0.000005|(trace)|0.000005|(trace)|0.00008|0.00019|0.00032|0.0000016|0.0049|0.000007|0.0015|0|0.000005|0.00029|0.31|0.064|0.067|0.0053|0.018|0.17|0.0006|0.0000019|0.0026|0.0000072|Телятина, грудка, сира|(null)|М'ясо та субпродукти/Телятина|Kalb, Brust, roh|(null)|Fleisch und Innereien/Kalb|Veau, poitrine, crue|(null)|Viande et abats/Veau|Vitello, petto, crudo|(null)|Carne e frattaglie/Vitello
generic_SwissFoodDB_product_2|2025-10-04|https://naehrwertdaten.ch/en/downloads/|2|2025-07-01|Veal, chop, raw|(null)|Meat and offal/Veal|(null)|(null)|674|161|8.7|3.6|3.7|0.8|(null)|0.34|0.07|0.021|0.004|0.062|0|0|(null)|0|20.7|0.1|0|69.8|0.000006|0.000005|(trace)|0.000005|(trace)|0.00008|0.00019|0.00062|0.0000016|0.0034|0.000007|0.0015|0|0.000005|0.00079|0.34|0.051|0.067|0.0053|0.019|0.18|0.0006|0.0000001|0.0029|0.0000072|Телятина, відбивна, сира|(null)|М'ясо та субпродукти/Телятина|Kalb, Kotelett, roh|(null)|Fleisch und Innereien/Kalb|Veau, côtelette, crue|(null)|Viande et abats/Veau|Vitello, costoletta, cruda|(null)|Carne e frattaglie/Vitello
generic_SwissFoodDB_product_3|2025-10-04|https://naehrwertdaten.ch/en/downloads/|3|2025-07-01|Veal, filet, steak, raw|(null)|Meat and offal/Veal|(null)|(null)|476|113|2.4|1|1.1|0.3|(null)|0.2|0.03|0.017|0.004|0.065|0|0|(null)|0|22.8|0.1|0|73.4|0.000006|0.000005|(trace)|0.000005|(trace)|0.00008|0.00019|0.00051|0.0000016|0.0034|0.000007|0.0015|0|0.000005|0.0005|0.36|0.044|0.067|0.0047|0.021|0.2|0.0005|0.0000035|0.0023|0.0000072|Телятина, філе, стейк, сира|(null)|М'ясо та субпродукти/Телятина|Kalb, Nierstück, Steak, roh|(null)|Fleisch und Innereien/Kalb|Veau, filet, steak, cru|(null)|Viande et abats/Veau|Vitello, bistecca, cruda|(null)|Carne e frattaglie/Vitello
generic_SwissFoodDB_product_4|2025-10-04|https://naehrwertdaten.ch/en/downloads/|4|2025-07-01|Lamb (sheep), leg, raw (Switzerland, New Zealand)|(null)|Meat and offal/Lamb, mutton|(null)|(null)|647|155|8.2|3.9|3.1|0.6|(null)|0.33|0.14|0.033|0.007|0.065|0|0|(null)|0|20.2|0.2|0|69.1|0.000009|0.000009|0.000009|0.000005|(trace)|0.00018|0.00006|0.00046|0.00000361|0.00652|0.000006|0.00092|0|0.0000061|0.0004|0.33|0.061|0.076|0.0047|0.02|0.19|0.0016|0.0000008|0.0036|0.0000047|Баранина (ягнятина), нога, сира (Швейцарія, Нова Зеландія)|(null)|М'ясо та субпродукти/Ягнятина, баранина|Lamm, Gigot, roh (Schweiz, Neuseeland)|Keule|Fleisch und Innereien/Lamm, Schaf|Agneau, gigot, cru (Suisse, Nouvelle-Zélande)|(null)|Viande et abats/Agneau, mouton|Agnello, cosciotto (Svizzera, Nuova Zelanda), crudo|(null)|Carne e frattaglie/Agnello, pecora
generic_SwissFoodDB_product_5|2025-10-04|https://naehrwertdaten.ch/en/downloads/|5|2025-07-01|Lamb (sheep), cutlet, raw (Switzerland)|(null)|Meat and offal/Lamb, mutton|(null)|(null)|747|179|10.9|5.2|4|0.9|(null)|0.39|0.13|0.029|0.002|0.072|0|0|(null)|0|20.2|0.2|0|65.4|0.000009|0.000009|0.000009|0.000005|(trace)|0.00018|0.00006|0.00032|0.00000361|0.0066|0.000006|0.00057|0|0.0000052|0.0005|0.31|0.069|0.079|0.0084|0.02|0.18|0.0015|0.0000009|0.0021|0.000007|Баранина (ягнятина), котлета, сира (Швейцарія)|(null)|М'ясо та субпродукти/Ягнятина, баранина|Lamm, Kotelett, roh (Schweiz)|(null)|Fleisch und Innereien/Lamm, Schaf|Agneau, côtelette, crue (Suisse)|(null)|Viande et abats/Agneau, mouton|Agnello, costoletta, cruda|(null)|Carne e frattaglie/Agnello, pecora
generic_SwissFoodDB_product_6|2025-10-04|https://naehrwertdaten.ch/en/downloads/|6|2025-07-01|Beef, minced, lean, raw|(null)|Meat and offal/Beef|(null)|(null)|645|154|7.5|3.2|3.4|0.5|(null)|0.2|0.06|0.013|0.004|0.056|0|0|0|0|21.6|0.2|0|69.7|0.000008|0.000007|0.000006|0.00001|0.00001|0.00006|0.00012|0.00045|0.00000141|0.00386|0.00001|0.00031|0|0.0000005|0.00026|0.31|0.061|0.05|0.005|0.017|0.16|0.002|0.000003|0.0044|(null)|Яловичина, фарш, нежирна, сира|(null)|М'ясо та субпродукти/Яловичина|Rind, Gehacktes, mager, roh|Hackfleisch|Fleisch und Innereien/Rind|Boeuf, haché, maigre, cru|(null)|Viande et abats/Bœuf|Manzo, carne macinata, magra, cruda|Trito|Carne e frattaglie/Manzo
generic_SwissFoodDB_product_7|2025-10-04|https://naehrwertdaten.ch/en/downloads/|7|2025-07-01|Pork, minced, raw|(null)|Meat and offal/Pork|(null)|(null)|663|159|8.5|3.1|4.2|0.8|(null)|0.57|0.04|0.007|0.009|0.063|0|0|(null)|0|20.5|0.1|0|70.3|0.000003|0.000003|0.000003|0|0|0.00084|0.00016|0.00039|0.0000008|0.00493|0.000004|0.0007|0|0.0000004|0.00027|0.33|0.046|0.056|0.0042|0.019|0.18|0.0011|0.000001|0.0027|(null)|Свинина, фарш, сира|(null)|М'ясо та субпродукти/Свинина|Schwein, Gehacktes, roh|Hackfleisch|Fleisch und Innereien/Schwein|Porc, haché, cru|(null)|Viande et abats/Porc|Maiale, carne macinata, cruda|Trito|Carne e frattaglie/Maiale
generic_SwissFoodDB_product_8|2025-10-04|https://naehrwertdaten.ch/en/downloads/|8|2025-07-01|Pork, chop, raw|(null)|Meat and offal/Pork|(null)|(null)|749|179|10.4|3.9|4.7|1|(null)|0.72|0.06|0.003|0.002|0.056|0|0|(null)|0|21.4|0.1|0|66.3|0.000003|0.000003|0.000003|0|0|0.00084|0.00016|0.0007|0.0000007|0.00499|0.000002|0.00079|0|0.0000004|0.00027|0.35|0.043|0.066|0.0049|0.021|0.2|0.0004|0.0000011|0.0014|0.000017|Свинина, відбивна, сира|(null)|М'ясо та субпродукти/Свинина|Schwein, Kotelett, roh|(null)|Fleisch und Innereien/Schwein|Porc, côtelette, crue|(null)|Viande et abats/Porc|Maiale, cotoletta, cruda|(null)|Carne e frattaglie/Maiale
generic_SwissFoodDB_product_9|2025-10-04|https://naehrwertdaten.ch/en/downloads/|9|2025-07-01|Pork, ragout, raw|(null)|Meat and offal/Pork|(null)|(null)|566|135|5.7|2.1|2.9|0.6|(null)|0.42|0.03|0.006|0.006|0.063|0|0|(null)|0|20.9|0.1|0|72.1|0.000003|0.000003|0.000003|0|0|0.0007|0.00031|0.00039|0.0000007|0.00493|0.000002|0.00078|0|0.0000004|0.00052|0.34|0.046|0.056|0.0047|0.019|0.19|0.0008|0.0000008|0.0025|(null)|Свинина, рагу, сира|(null)|М'ясо та субпродукти/Свинина|Schwein, Voressen, roh|Ragout|Fleisch und Innereien/Schwein|Porc, ragoût, cru|(null)|Viande et abats/Porc|Maiale, spezzatino, crudo|Ragù|Carne e frattaglie/Maiale
generic_SwissFoodDB_product_10|2025-10-04|https://naehrwertdaten.ch/en/downloads/|10|2025-07-01|Veal, liver, raw|(null)|Meat and offal/Veal|(null)|(null)|537|127|3.4|1.3|0.7|1.2|(null)|0.63|0.05|0.02|0.06|0.35|4.6|0|(null)|0|19.6|0.2|0|70.3|0.011457|0.011443|0.01143|0.00016|(null)|0.00024|0.00254|0.0009|0.00006|0.01444|0.00024|0.0079|0.023|0.0000003|0.00037|0.3|0.068|0.09|0.009|0.019|0.33|0.0074|0.0000043|0.004|0.00004|Телятина, печінка, сира|(null)|М'ясо та субпродукти/Телятина|Kalb, Leber, roh|(null)|Fleisch und Innereien/Kalb|Veau, foie, cru|(null)|Viande et abats/Veau|Vitello, fegato, crudo|(null)|Carne e frattaglie/Vitello
